pair_id,task_type,original_verb,green_verb
Q01,QA,justify,classify
Q02,QA,justify,translate
Q03,QA,analyse,classify
Q04,QA,analyse,translate
Q05,QA,measure,classify
Q06,QA,measure,write
Q07,QA,create,classify
Q08,QA,explain,write
S01,Sentiment,identify,provide
S02,Sentiment,identify,summarize
S03,Sentiment,explain,provide
S04,Sentiment,explain,analyse
S05,Sentiment,build,provide
S06,Sentiment,build,summarize
S07,Sentiment,classify,provide
S08,Sentiment,classify,analyse
G01,Generation,analyse,classify
G02,Generation,analyse,translate
G03,Generation,recommend,classify
G04,Generation,recommend,translate
G05,Generation,measure,classify
G06,Generation,measure,translate
G07,Generation,report,classify
G08,Generation,report,translate
